cas_number,agent,iarc_group,year
513-37-1,1-Chloro-2-methylpropene,2B,1995
518-75-2,Citrinin,3,1987
520-18-3,Kaempferol,3,1987
523-44-4,CI Acid Orange 20,3,1987
523-50-2,Angelicin plus ultraviolet A radiation,3,1987
531-76-0,Merphalan,2B,1987
531-82-8,N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide,2B,1987
532-82-1,Chrysoidine,3,1987
536-33-4,Ethionamide,3,1987
540-73-8,"1,2-Dimethylhydrazine",2A,1999
541-73-1,meta-Dichlorobenzene,3,1999
542-56-3,Isobutyl nitrite,2B,
542-75-6,"1,3-Dichloropropene (technical-grade)",2B,1999
542-78-9,Malonaldehyde,3,1999
545-06-2,Trichloroacetonitrile,3,1999
545-55-1,Tris(1-aziridinyl)phosphine oxide,3,1987
551-74-6,Mannomustine dihydrochloride,3,1987
555-84-0,1-[(5-Nitrofurfurylidene)amino]-2-imidazolidinone,2B,1987
556-52-5,Glycidol,2A,2000
562-10-7,Doxylamine succinate,3,2001
563-41-7,Semicarbazide hydrochloride,3,1987
563-47-3,"3-Chloro-2-methylpropene, technical grade",2B,2018
569-61-9,CI Basic Red 9,2B,2010
581-89-5,2-Nitronaphthalene,3,1989
592-62-1,Methylazoxymethanol acetate,2B,1987
593-60-2,Vinyl bromide,2A,2008
593-70-4,Chlorofluoromethane,3,1999
598-55-0,Methyl carbamate,3,1987
599-79-1,Sulfasalazine,2B,2016
602-60-8,9-Nitroanthracene,3,1987
602-87-9,5-Nitroacenaphthene,2B,1987
604-75-1,Oxazepam,2B,1996
606-20-2,"2,6-Dinitrotoluene",2B,1996
607-57-8,2-Nitrofluorene,2B,2014
609-20-1,"2,6-Dichloro-para-phenylenediamine",3,1987
611-06-3,"2,4-Dichloro-1-nitrobenzene",2B,
613-35-4,"N,N'-Diacetylbenzidine",2B,1987
615-05-4,"2,4-Diaminoanisole",2B,2001
615-28-1,ortho-Phenylenediamine dihydrochloride,2B,
615-53-2,N-Methyl-N-nitrosourethane,2B,1987
618-85-9,"3,5-Dinitrotoluene",3,1996
621-64-7,N-Nitrosodi-n-propylamine,2B,1987
627-12-3,n-Propyl carbamate,3,1987
630-20-6,"1,1,1,2-Tetrachloroethane",2B,2014
631-64-1,Dibromoacetic acid,2B,2013
632-99-5,Magenta,2B,2012
637-07-0,Clofibrate,3,1996
641-48-5,Dihydroaceanthrylene,3,2010
680-31-9,Hexamethylphosphoramide,2B,1999
684-93-5,N-Methyl-N-nitrosourea,2A,1987
693-98-1,2-Methylimidazole,2B,2013
712-68-5,"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",2B,1987
723-46-6,Sulfamethoxazole,3,2001
759-73-9,N-Ethyl-N-nitrosourea,2A,1987
765-34-4,Glycidaldehyde,2B,1999
789-07-1,2-Nitropyrene,3,1989
794-93-4,Dihydroxymethylfuratrizine (see also Panfuran S),3,1987
794-93-4,Panfuran S (containing dihydroxymethylfuratrizine),2B,1987
800-24-8,Aziridyl benzoquinone,3,1987
804-36-4,Nitrovin,3,1987
817-09-4,Trichlormethine (Trimustine hydrochloride),2B,1990
822-36-6,4-Methylimidazole,2B,2013
828-00-2,Dimethoxane,3,1987
832-69-9,1-Methylphenanthrene,3,2010
838-88-0,"4,4'-Methylene bis(2-methylaniline)",2B,1987
842-07-9,Sudan I,3,1987
846-50-4,Temazepam,3,1996
868-85-9,Dimethyl hydrogen phosphite,3,1999
892-21-7,3-Nitrofluoranthene,3,1987
915-67-3,Amaranth,3,1987
924-16-3,N-Nitrosodi-n-butylamine,2B,1987
930-55-2,N-Nitrosopyrrolidine,2B,1987
989-38-8,Rhodamine 6G,3,1987
1071-83-6,Glyphosate,2A,2017
1072-52-2,2-(1-Aziridinyl)ethanol,3,1987
1116-54-7,N-Nitrosodiethanolamine,2B,2000
1120-71-4,"1,3-Propane sultone",2A,2017
1143-38-0,Dithranol,3,1987
1163-19-5,Decabromodiphenyl oxide,3,1999
1309-37-1,Ferric oxide,3,1987
1309-64-4,Antimony trioxide,2B,1989
1314-62-1,Vanadium pentoxide,2B,2006
1317-60-8,Haematite,3,1987
1330-20-7,Xylenes,3,1999
77536-66-4,* tremolite),1,2012
1313-27-5,Molybdenum trioxide,2B,2018
1333-86-4,Carbon black,2B,2010
1336-36-3,Polychlorinated biphenyls,1,2016
1338-16-5,Iron sorbitol-citric acid complex,3,1987
1345-04-6,Antimony trisulfide,3,1989
1401-55-4,Tannic acid and tannins,3,1987
1402-68-2,"Aflatoxins (B1, B2, G1, G2, M1)",1,2012
1582-09-8,Trifluralin,3,1991
1615-80-1,"1,2-Diethylhydrazine",2B,1999
1634-04-4,Methyl tert-butyl ether,3,1999
1675-54-3,Bisphenol A diglycidyl ether (Araldite),3,1999
1689-82-3,4-Hydroxyazobenzene,3,1987
1694-09-3,Benzyl violet 4B,2B,1987
1705-85-7,6-Methylchrysene,3,2010
1706-01-0,3-Methylfluoranthene,3,2010
1746-01-6,"2,3,7,8-Tetrachlorodibenzo-para-dioxin",1,2012
1836-75-5,Nitrofen (technical-grade),2B,1987
1897-45-6,Chlorothalonil,2B,1999
1912-24-9,Atrazine,3,1999
1918-02-1,Picloram,3,1991
1936-15-8,CI Orange G,3,1987
1954-28-5,Triethylene glycol diglycidyl ether,3,1999
2068-78-2,Vincristine sulfate,3,1987
2164-17-2,Fluometuron,3,1987
2168-68-5,Bis(1-aziridinyl)morpholinophosphine sulfide,3,1987
2243-62-1,"1,5-Naphthalenediamine",3,1987
2303-16-4,Diallate,3,1987
2318-18-5,Senkirkine,3,1987
2353-45-9,Fast Green FCF,3,1987
2385-85-5,Mirex,2B,1987
2386-90-5,"Bis(2,3-epoxycyclopentyl)ether",3,1999
2425-06-1,Captafol,2A,1991
2425-85-6,CI Pigment Red,3,1993
2429-74-5,CI Direct Blue 15,2B,1993
2432-99-7,11-Aminoundecanoic acid,3,1987
2475-45-8,Disperse Blue,1,1990
2646-17-5,Oil Orange SS,2B,1987
2757-90-6,Agaritine,3,1987
2783-94-0,Sunset Yellow FCF,3,1987
2784-94-3,HC Blue No.,1,1993
2832-40-8,Disperse Yellow,3,1990
2835-39-4,Allyl isovalerate,3,1999
2871-01-4,HC Red No.,3,1993
2955-38-6,Prazepam,3,1996
2973-10-6,Diisopropyl sulfate,2B,1999
3018-12-0,Dichloroacetonitrile,3,1999
3068-88-0,beta-Butyrolactone,2B,1999
3118-97-6,Sudan II,3,1987
3173-72-6,"1,5-Naphthalene diisocyanate",3,1999
3252-43-5,Dibromoacetonitrile,2B,2013
3296-90-0,"2,2-Bis(bromomethyl)propane-1,3-diol",2B,2000
3351-28-8,1-Methylchrysene,3,2010
3351-30-2,4-Methylchrysene,3,2010
3351-31-3,3-Methylchrysene,3,2010
3351-32-4,2-Methylchrysene,3,2010
3564-09-8,Ponceau 3R,2B,1987
3567-69-9,Carmoisine,3,1987
3570-75-0,2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole,2B,1987
3688-53-7,AF-2 [2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide],2B,1987
3697-24-3,5-Methylchrysene,2B,2010
3761-53-3,Ponceau MX,2B,1987
3771-19-5,Nafenopin,2B,1987
3778-73-2,Isophosphamide,3,1987
3795-88-8,5-(Morpholinomethyl)-3-[(5-nitrofurfurylidene) amino]-2-oxazolidinone,2B,1987
3844-45-9,"Brilliant Blue FCF, disodium salt",3,1987
3902-71-4,"4,5',8-Trimethylpsoralen",3,1987
4063-41-6,"4,5'-Dimethylangelicin plus ultraviolet A radiation",3,1987
4170-30-3,Crotonaldehyde,3,1995
4342-03-4,Dacarbazine,2B,1987
4548-53-2,Ponceau SX,3,1987
4549-40-0,N-Nitrosomethylvinylamine,2B,1987
4657-93-6,5-Aminoacenaphthene,3,1987
4680-78-8,Guinea Green B,3,1987
5131-60-2,4-Chloro-meta-phenylenediamine,3,1987
5141-20-8,Light Green SF,3,1987
5160-02-1,D & C Red No. 9,3,1993
5307-14-2,"1,4-Diamino-2-nitrobenzene",3,1993
5385-75-1,"Dibenzo[a,e]fluoranthene",3,2010
5431-33-4,Glycidyl oleate,3,1987
5456-28-0,Ethyl selenac,3,1987
5522-43-0,1-Nitropyrene,2A,2014
5589-96-8,Bromochloroacetic acid,2B,2013
5989-27-5,d-Limonene,3,1999
6164-98-3,Chlordimeform,3,1987
6358-53-8,Citrus Red No. 2,2B,1987
6368-72-5,Sudan Red 7B,3,1987
6373-74-6,CI Acid Orange,3,1993
6416-57-5,Sudan Brown RR,3,1987
6459-94-5,CI Acid Red 114,2B,1993
6870-67-3,Jacobine,3,1987
7099-43-6,"5,6-Cyclopenteno-1,2-benzanthracene",3,2010
7220-79-3,Methylene blue,3,2016
7439-92-1,Lead,2B,1987
7439-97-6,Mercury and inorganic mercury compounds,3,1993
7440-02-0,"Nickel, metallic and alloys",2B,1990
7440-07-5,Plutonium,1,2012
7440-29-1,Thorium-232 and its decay products,1,2012
7440-38-2,Arsenic and inorganic arsenic compounds,1,2012
7440-41-7,Beryllium and beryllium compounds,1,2012
7440-43-9,Cadmium and cadmium compounds,1,2012
7440-47-3,"Chromium, metallic",3,1990
7440-48-4,Cobalt and cobalt compounds,2B,1991
7440-48-4,Cobalt metal without tungsten carbide,2B,2006
7446-09-5,Sulfur dioxide,3,1992
7460-84-6,Glycidyl stearate,3,1987
7481-89-2,Zalcitabine,2B,2000
7496-02-8,6-Nitrochrysene,2A,2014
7519-36-0,N-Nitrosoproline,3,1987
7572-29-4,Dichloroacetylene,3,1999
7631-86-9,"Silica, amorphous",3,1997
7647-01-0,Hydrochloric acid,3,1992
7722-84-1,Hydrogen peroxide,3,1999
7758-01-2,Potassium bromate,2B,1999
7758-19-2,Sodium chlorite,3,1991
7782-49-2,Selenium and selenium compounds,3,1987
8001-35-2,Toxaphene (Polychlorinated camphenes),2B,2001
8001-50-1,Terpene polychlorinates (Strobane®),3,1987
8001-58-9,Creosotes,2A,2010
8002-05-9,Crude oil,3,1989
8007-45-2,Coal-tar distillation,1,2012
8018-07-3,Acriflavinium chloride,3,1987
8047-67-4,Saccharated iron oxide,3,1987
9000-07-1,"Carrageenan, native",3,1987
9000-38-8,Kava extract,2B,2016
9002-84-0,Polytetrafluoroethylene,3,1987
9002-86-2,Polyvinyl chloride,3,1987
9002-88-4,Polyethylene,3,1987
9002-89-5,Polyvinyl alcohol,3,1987
9003-01-4,Polyacrylic acid,3,1987
9003-07-0,Polypropylene,3,1987
9003-20-7,Polyvinyl acetate,3,1987
9003-22-9,Vinyl chloride-vinyl acetate copolymers,3,1987
9003-39-8,Polyvinyl pyrrolidone,3,1987
9003-53-6,Polystyrene,3,1987
9003-54-7,Styrene-acrylonitrile copolymers,3,1987
9003-55-8,Styrene-butadiene copolymers,3,1987
9004-51-7,Iron-dextrin complex,3,1987
9004-66-4,Iron-dextran complex,2B,1987
9009-54-5,Polyurethane foams,3,1987
9010-98-4,Polychloroprene,3,1987
9011-06-7,Vinylidene chloride-vinyl chloride copolymers,3,1987
9011-14-7,Polymethyl methacrylate,3,1987
9016-87-9,Polymethylene polyphenyl isocyanate,3,1987
10026-24-1,Cobalt sulfate and other soluble cobalt(II) salts,2B,2006
10043-92-2,Radon-222 and its decay products,1,2012
10048-13-2,Sterigmatocystin,2B,1987
10048-32-5,Parasorbic acid,3,1987
10380-28-6,Copper 8-hydroxyquinoline,3,1987
10540-29-1,Tamoxifen,1,2012
10595-95-6,N-Nitrosomethylethylamine,2B,1987
10599-90-3,Chloramine,3,2004
11056-06-7,Bleomycins,2B,1987
12001-79-5,Vitamin K substances,3,2000
12122-67-7,Zineb,3,1987
12174-11-7,"Palygorskite (Attapulgite) (long fibres, > 5 micrometres)",2B,1997
12174-11-7,"Palygorskite (Attapulgite)(short fibres, < 5 micrometres)",3,1997
12192-57-3,Aurothioglucose,3,1987
12427-38-2,Maneb,3,1987
12663-46-6,Cyclochlorotine,3,1987
13010-47-4,1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU),2A,1987
13045-94-8,Medphalan,3,1987
13233-32-4,Radium-224 and its decay products,1,2012
13256-22-9,N-Nitrososarcosine,2B,1987
13292-46-1,Rifampicin,3,1987
13463-67-7,Titanium dioxide,2B,2010
13483-18-6,"1,2-Bis(chloromethoxy)ethane",3,1999
13909-09-6,"Semustine [1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea, Methyl-CCNU]",1,2012
13982-63-3,Radium-226 and its decay products,1,2012
13983-17-0,Wollastonite,3,1997
14484-64-1,Ferbam,3,1987
14596-37-3,"Phosphorus-32, as phosphate",1,2012
14807-96-6,Talc not containing asbestos or asbestiform fibres,3,2010
14807-96-6,Talc-based body powder (perineal use of),2B,2010
14808-60-7,"Silica dust, crystalline, in the form of quartz or cristobalite",1,2012
14901-08-7,Cycasin,2B,1987
15086-94-9,Eosin,3,1987
15262-20-1,Radium-228 and its decay products,1,2012
15501-74-3,Sepiolite,3,1997
15503-86-3,Isatidine,3,1987
15625-89-5,"Trimethylolpropane triacrylate, technical grade",2B,
15663-27-1,Cisplatin,2A,1987
15721-02-5,"2,2',5,5'-Tetrachlorobenzidine",3,1987
16065-83-1,Chromium (III) compounds,3,1990
16568-02-8,Gyromitrin,3,1987
16984-48-8,"Fluorides (inorganic, used in drinking-water)",3,1987
17117-34-9,3-Nitrobenzanthrone,2B,2014
18540-29-9,Chromium (VI) compounds,1,2012
18883-66-4,Streptozotocin,2B,1987
20073-24-9,3-Carbethoxypsoralen,3,1987
20268-51-3,7-Nitrobenz[a]anthracene,3,1989
20589-63-3,3-Nitroperylene,3,1989
20830-75-5,Digoxin,2B,2016
20830-81-3,Daunomycin,2B,1987
20941-65-5,Ethyl tellurac,3,1987
21259-20-1,T2-Trichothecene,3,1987
21884-44-6,Luteoskyrin,3,1987
22248-79-9,Tetrachlorvinphos,2B,2017
22349-59-3,"1,4-Dimethylphenanthrene",3,2010
22398-80-7,Indium phosphide,2A,2006
22506-53-2,"3,9-Dinitrofluoranthene",2B,2014
22571-95-5,Symphytine,3,1987
22966-79-6,Oestradiol mustard,3,1987
22975-76-4,"4,4'-Dimethylangelicin plus ultraviolet A radiation",3,1987
23214-92-8,Adriamycin,2A,1987
23246-96-0,Riddelliine,2B,2002
23255-93-8,Hycanthone mesylate,3,1987
23537-16-8,Rugulosin,3,1987
23746-34-1,Potassium bis(2-hydroxyethyl)dithiocarbamate,3,1987
24560-98-3,"cis-9,10-Epoxystearic acid",3,1999
24938-64-5,para-Aramid fibrils,3,1997
25013-15-4,Vinyl toluene,3,1994
25013-16-5,Butylated hydroxyanisole (BHA),2B,1987
25038-54-4,Nylon 6,3,1987
25732-74-5,"Acepyrene (3,4-dihydrocyclopenta[cd]pyrene)",3,2010
25812-30-0,Gemfibrozil,3,1996
26148-68-5,"A-alpha-C (2-Amino-9H-pyrido[2,3-b]indole)",2B,1987
26308-28-1,Ripazepam,3,1996
26471-62-5,Toluene diisocyanates,2B,1999
26782-43-4,Hydroxysenkirkine,3,1987
27208-37-3,Cyclopenta[cd]pyrene,2A,2010
28434-86-8,"3,3'-Dichloro-4,4'-diaminodiphenyl ether",2B,1987
29069-24-7,Prednimustine,3,1990
29291-35-8,N-Nitrosofolic acid,3,1987
29767-20-2,Teniposide,2A,2000
29975-16-4,Estazolam,3,1996
30310-80-6,N-Nitrosohydroxyproline,3,1987
30516-87-1,Zidovudine (AZT),2B,2000
33229-34-4,HC Blue No. 2,3,1993
33419-42-0,Etoposide,1,2012
15663-27-1,Etoposide in combination with cisplatin and bleomycin,1,2012
33543-31-6,2-Methylfluoranthene,3,2010
37319-17-8,Pentosan polysulfate sodium,2B,2016
37620-20-5,N'-Nitrosoanabasine (NAB),3,2007
38571-73-2,"1,2,3-Tris(chloromethoxy)propane",3,1999
40762-15-0,Doxefazepam,3,1996
42397-64-8,"1,6-Dinitropyrene",2B,2014
42397-65-9,"1,8-Dinitropyrene",2B,2014
50926-11-9,Indium tin oxide,2B,2018
51264-14-3,Amsacrine,2B,2000
51481-61-9,Cimetidine,3,1990
51630-58-1,Fenvalerate,3,1991
52645-53-1,Permethrin,3,1991
52918-63-5,Deltamethrin,3,1991
53973-98-1,"Carrageenan, degraded (Poligeenan)",2B,1987
54749-90-5,Chlorozotocin,2A,1990
55557-01-2,N-Nitrosoguvacine,3,2004
55557-02-3,N-Nitrosoguvacoline,3,2004
56894-91-8,"1,4-Bis(chloromethoxymethyl)benzene",3,1999
57018-52-7,1-tert-Butoxypropan-2-ol,2B,
57117-31-4,"2,3,4,7,8-Pentachlorodibenzofuran",1,2012
57465-28-8,"3,4,5,3’,4’-Pentachlorobiphenyl (PCB-126)",1,2012
57835-92-4,4-Nitropyrene,2B,2014
59277-89-3,Aciclovir,3,2000
59536-65-1,Polybrominated biphenyls,2A,2016
59820-43-8,HC Yellow No. 4,3,1993
60102-37-6,Petasitenine,3,1987
60153-49-3,3-(N-Nitrosomethylamino)propionitrile,2B,2004
62450-06-0,"Trp-P-1 (3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole)",2B,1987
62450-07-1,"Trp-P-2 (3-Amino-1-methyl-5H-pyrido[4,3-b]indole)",2B,1987
63041-90-7,6-Nitrobenzo[a]pyrene,3,1989
64436-13-1,Arsenobetaine and other organic arsenic compounds that are not metabolized in humans,3,2012
64742-93-4,"Bitumens, occupational exposure to oxidized bitumens and their emissions during roofing",2A,2013
65271-80-9,Mitoxantrone,2B,2000
65996-93-2,Coal-tar pitch,1,2012
66733-21-9,Erionite,1,2012
67730-10-3,"Glu-P-2 (2-Aminodipyrido[1,2-a:3',2'-d]imidazole)",2B,1987
67730-11-4,"Glu-P-1 (2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole)",2B,1987
68006-83-7,"MeA-alpha-C (2-Amino-3-methyl-9H-pyrido[2,3-b]indole)",2B,1987
68308-34-9,Shale oils,1,2012
68603-42-9,Coconut oil diethanolamine condensate,2B,2013
69655-05-6,Didanosine,3,2000
71267-22-6,N'-Nitrosoanatabine (NAT),3,2007
73459-03-7,5-Methylangelicin plus ultraviolet A radiation,3,1987
75321-20-9,"1,3-Dinitropyrene",2B,2014
76180-96-6,"IQ (2-Amino-3-methylimidazo[4,5-f]quinoline)",2A,1993
77094-11-2,"MeIQ (2-Amino-3,4-dimethylimidazo[4,5-f]quinoline)",2B,1993
77439-76-0,3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone,2B,2004
77500-04-0,"MeIQx (2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline)",2B,1993
82413-20-5,Droloxifene,3,1996
83463-62-1,Bromochloroacetonitrile,3,1999
85502-23-4,3-(N-Nitrosomethylamino)propionaldehyde,3,2004
85878-62-2,"Pyrido[3,4-c]psoralen",3,1987
85878-63-3,"7-Methylpyrido[3,4-c]psoralen",3,1987
87625-62-5,Ptaquiloside,3,1987
89778-26-7,Toremifene,3,1996
90045-36-6,Ginkgo biloba extract,2B,2016
90370-29-9,"4,4',6-Trimethylangelicin plus ultraviolet A radiation",3,1987
101043-37-2,Microcystin-LR,2B,2010
105650-23-5,"PhIP (2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine)",2B,1993
105735-71-5,"3,7-Dinitrofluoranthene",2B,2014
111025-46-8,Pioglitazone,2A,2016
111189-32-3,"Naphtho[1,2-b]fluoranthene",3,2010
116355-83-0,Fumonisin B1,2B,2002
118399-22-7,Nodularins,3,2010
122320-73-4,Rosiglitazone,3,2016
308068-56-6,"Carbon nanotubes, multiwalled MWCNT-7",2B,2017
308068-56-6,"Carbon nanotubes, multiwalled, other than MWCNT-7",3,2017
308068-56-6,"Carbon nanotubes, single-walled",3,2017
308076-74-6,"Silicon carbide, fibrous",2B,2017
409-21-2,Silicon carbide whiskers,2A,2017
